baseline,seed,CR,WT,DU,cancel_rate,no_driver_rate
greedy,10000,0.6230235783633842,5.419633418502548,0.4389934539516846,0.24798890429958392,0.12260748959778087
greedy,10001,0.5919246298788694,5.539625177432025,0.4380503849891605,0.2594885598923284,0.14562584118438762
greedy,10002,0.5933793103448276,5.481055093213319,0.4139367181751288,0.2659310344827586,0.1373793103448276
greedy,10003,0.5846494873926296,5.420594805849142,0.4199484016369136,0.24799113327791633,0.16348018841784429
greedy,10004,0.6073825503355704,5.4775024758995015,0.4277100460314426,0.2483221476510067,0.1417785234899329
random,10000,0.5945008008542445,5.687497201987695,0.44348269581056465,0.24479444741057127,0.15803523758675922
random,10001,0.6193619361936193,5.726086680151127,0.44305389221556885,0.2444994499449945,0.13146314631463146
random,10002,0.5935397039030955,5.857526459405978,0.43555536051257293,0.2586810228802153,0.13970390309555855
random,10003,0.6126321496340472,5.458761316602894,0.4386494444197849,0.2404445649227433,0.14475467606397396
random,10004,0.5792974986695051,5.808442278934529,0.4367128788885444,0.25199574241617884,0.16551357104843
