episode,ep_reward,avg_loss,avg_q,epsilon,n_transitions,n_completion_bonus,global_abm_step,buffer_size,wall_time_s
1,-2536.602500461968,0.3279007015384859,-0.9771417692926336,0.9931695,8639,2264,719,8639,43.3
2,-2358.569189254741,0.30702709408029755,-0.3251038572181404,0.986339,8422,2168,1438,17061,129.8
3,-2550.2880042130546,0.2765857475192069,-0.13923279632110536,0.9795085,8641,2180,2157,25702,211.0
4,-2536.7889970561278,0.311314704886442,0.5026084305132735,0.972678,8839,2169,2876,34541,296.1
5,-2588.0484210009586,0.3368877861621483,1.0721107404130896,0.965857,8865,2247,3594,43406,380.6
6,-2647.673986689907,0.36326063824229354,1.4948581958333569,0.9590265,8962,2260,4313,52368,468.5
7,-2651.341194740911,0.3761561769643687,1.9698326513147981,0.952196,9227,2299,5032,61595,560.0
8,-2604.5357630254152,0.3875242937454986,2.667705690255126,0.9453845,8865,2212,5749,70460,643.0
9,-2455.367874808603,0.392800078210992,3.031300426159119,0.9385635,8366,2169,6467,78826,723.7
10,-2583.4514965610706,0.3928516309815238,3.4533795281553434,0.931733,9097,2157,7186,87923,813.2,-2519.6679133362336,62.18211739985358,0.6112116462242971,5.588940704775292,0.4204093041230643
11,-2526.4537879869463,0.39400294307207306,3.6772087409887138,0.924912,8743,2199,7904,96666,947.1
12,-2525.106189316287,0.3978296786656483,4.164916206446933,0.9180815,8416,2123,8623,100000,1032.8
13,-2764.113900993603,0.3962918172556977,4.4825188671264184,0.9112605,9325,2190,9341,100000,1124.9
14,-2545.2663735583556,0.38572865239484694,4.541331502516865,0.9044300000000001,8758,2256,10060,100000,1212.6
15,-2648.6536630895785,0.3830156750528551,4.966163214045968,0.8975995,8921,2240,10779,100000,1303.7
16,-2668.2635521168436,0.3870056541057448,5.218856652842315,0.890769,9311,2308,11498,100000,1399.8
17,-2474.715819477846,0.38404583019015365,5.4817801709727165,0.883948,8482,2112,12216,100000,1487.9
18,-2429.2559270861975,0.37887351284338766,5.769359078077056,0.8771175,8346,2141,12935,100000,1575.0
19,-2422.5602502388406,0.37413957305854795,6.105038628167974,0.870287,8660,2197,13654,100000,1666.5
20,-2552.4493986202083,0.3803996052378407,6.254901056056068,0.8634565000000001,8767,2181,14373,100000,1759.2,-2593.738072853762,52.948624294716026,0.611887017904476,5.651084968062134,0.42533514198688993
21,-2703.9878989690733,0.37437089454095857,6.694428895432055,0.8566355,9508,2222,15091,100000,1906.1
22,-2687.620674904297,0.37308352459064226,6.9559532595009115,0.849805,9440,2212,15810,100000,2006.8
23,-2607.0648922264677,0.37023738496827535,7.031502369015663,0.8429745,9073,2328,16529,100000,2103.6
24,-2484.0005973715097,0.3695669996609389,7.093332580462612,0.836144,8545,2200,17248,100000,2194.0
25,-2487.9408741650764,0.36469531364550506,7.280780978202269,0.8293135,8659,2120,17967,100000,2285.1
26,-2642.817547975866,0.37382775272342916,7.552802903893259,0.8224925000000001,9314,2286,18685,100000,2384.3
27,-2373.4712853141423,0.37654872265261186,7.7758347248627935,0.815662,8339,2185,19404,100000,2473.6
28,-2566.8588847031187,0.3761756750249979,8.08700194620437,0.8088315,9036,2258,20123,100000,2570.7
29,-2581.742600013282,0.3809435959977685,8.0871601789334,0.8020105,8811,2203,20841,100000,2665.2
30,-2755.6239821977833,0.3815671168881148,7.993423806225717,0.7951895,8988,2129,21559,100000,2760.6,-2561.496858102263,90.11148316109961,0.6031793258681241,5.576997433889434,0.42058221786670835
31,-2507.2539310933557,0.37754737015282863,8.502695256895791,0.788359,8767,2223,22278,100000,2899.6
32,-2618.1237907740897,0.3701392544235127,8.435505395565944,0.7815285000000001,8987,2269,22997,100000,2995.8
33,-2505.07624907743,0.38249758859967803,8.945857806409073,0.774698,8434,2063,23716,100000,3086.4
34,-2571.911481053784,0.37810300774458055,9.114989215492413,0.7678675,8903,2210,24435,100000,3182.0
35,-2527.946265582124,0.3701046445022199,9.38817146036977,0.7610465000000001,8929,2233,25153,100000,3277.4
36,-2558.7611482138745,0.37045739884768975,9.309950559396938,0.754216,9058,2234,25872,100000,3375.3
37,-2542.264328173694,0.3764086896328176,9.176980985470768,0.7473855,8592,2187,26591,100000,3468.0
38,-2706.5494779365868,0.37514938003971665,9.470131441174928,0.7405645000000001,9334,2257,27309,100000,3568.6
39,-2508.7617099733907,0.3702146413318467,9.594272856559979,0.7337340000000001,8716,2159,28028,100000,3662.9
40,-2517.185524287354,0.37490592186666716,9.730281924175506,0.7269035,9017,2248,28747,100000,3759.7,-2625.393415760226,62.8473778557162,0.6069995568803492,5.698427655875954,0.4303296133638875
41,-2524.2346052197627,0.3761190422035035,9.91637868911805,0.720073,8898,2191,29466,100000,3902.0
42,-2618.478457968403,0.37063865354505854,10.167253167551124,0.7132615,9178,2261,30183,100000,4001.1
43,-2602.649305870341,0.3666718316621273,9.858511937318985,0.706431,8835,2210,30902,100000,4097.3
44,-2546.798651357206,0.37362070844155104,10.109000553852477,0.6996005000000001,8847,2207,31621,100000,4192.3
45,-2615.6160377789624,0.36987552965093295,9.827905941358255,0.69277,8751,2153,32340,100000,4287.6
