episode,ep_reward,avg_loss,avg_q,epsilon,n_transitions,global_abm_step,buffer_size,wall_time_s
1,-1383.4787528368283,0.01828196676267283,-0.8026669776562365,0.99658475,5670,719,5670,11.6
2,-1439.9013198254265,0.011285144472255072,-1.0589975435416046,0.9931695,5907,1438,11577,51.9
3,-1383.9174469643597,0.008561325372702025,-1.0554210368041874,0.98975425,5640,2157,17217,89.9
4,-1435.443531320013,0.008136473847472122,-1.12481456767795,0.9863485,5863,2874,23080,130.1
5,-1360.7638493508985,0.00721749035313848,-1.2233646744034616,0.982938,5593,3592,28673,168.9
6,-1367.4938851927027,0.006908998801664445,-1.28482237395692,0.97952275,5671,4311,34344,210.2
7,-1398.7632625010729,0.006222046261308691,-1.295754794288146,0.9761075,5905,5030,40249,250.2
8,-1448.5041686426146,0.006670040509864556,-1.345650880588834,0.97269225,5675,5749,45924,289.5
9,-1377.6545309340017,0.006939342209294486,-1.397389211952107,0.9692769999999999,5659,6468,51583,328.1
10,-1391.1178493179075,0.006576673728262439,-1.4434564636362495,0.96586175,5627,7187,57210,366.8,-1360.4273859629827,35.244922086792315,0.4049684008198584,7.671173043451162,0.2895957658582856
11,-1341.4388860217741,0.006742667234361419,-1.426573338245467,0.96245125,5536,7905,62746,440.9
12,-1372.102373599685,0.006847764445700601,-1.5066658195254075,0.9590455,5745,8622,68491,480.9
13,-1443.8634467167685,0.0068439611481009915,-1.551732647797965,0.955635,5882,9340,74373,521.0
14,-1483.7114609202836,0.006968856286316379,-1.6215209328128235,0.95222925,5853,10057,80226,559.9
15,-1455.8235949905934,0.0074638056922336675,-1.6385847799836961,0.948814,5781,10776,86007,599.6
16,-1417.348929548499,0.007618728816078848,-1.6911081428065777,0.94539875,5903,11495,91910,640.7
17,-1270.1232183550453,0.007497463783382305,-1.6928192277976444,0.94198825,5250,12213,97160,677.5
18,-1388.1841157162307,0.007581780702747344,-1.704071620621891,0.938573,5588,12932,100000,718.1
19,-1409.3477522034452,0.0076265188301922445,-1.7135427434464117,0.93515775,5691,13651,100000,757.8
20,-1385.6645284342378,0.007872211910885987,-1.7807883317550206,0.9317425,5657,14370,100000,797.0,-1276.5656276816803,45.91558327122218,0.40562784477921376,7.46593255872151,0.27653426633484945
21,-1368.3753437113157,0.0077439419243700265,-1.8016425333175052,0.928332,5773,15088,100000,872.1
22,-1393.5835892349398,0.00769778020971328,-1.7961361932863902,0.92492625,5667,15805,100000,911.8
23,-1365.5466369430076,0.0077251562780559875,-1.9125621627354759,0.921511,5598,16524,100000,952.1
24,-1372.1087455951192,0.0077727400447208045,-1.9028454388365719,0.91809575,5739,17243,100000,993.4
25,-1446.3691544818498,0.008084207147261813,-1.891617255995148,0.9146805,5700,17962,100000,1037.3
26,-1443.2797969854685,0.008077376460759128,-1.9373291616406987,0.91126525,5900,18681,100000,1083.0
27,-1466.7898344894832,0.007868594213873013,-2.0149247239643056,0.90785,6094,19400,100000,1129.7
28,-1340.253628872716,0.007453845904275656,-1.9936904354971283,0.9044442500000001,5635,20117,100000,1174.2
29,-1447.4374583291965,0.007624916436385885,-2.004799564609959,0.90103375,5860,20835,100000,1220.2
30,-1308.6116745689487,0.007694155311671226,-2.123440659688488,0.8976185,5475,21554,100000,1261.1,-1329.1806588832133,65.34169975207607,0.4158398715644558,7.504712372302629,0.28447863632912707
31,-1445.0369615629932,0.007717319452934041,-2.057990695592646,0.89420325,5854,22273,100000,1339.6
32,-1427.2182579081102,0.007383279540880631,-2.11379850598482,0.890788,5889,22992,100000,1381.1
33,-1431.3633037393115,0.007581641752413842,-2.081789927202701,0.88737275,5839,23711,100000,1423.9
34,-1444.1668441287943,0.00758207373138519,-2.063340301429673,0.883967,5847,24428,100000,1465.7
35,-1419.0111225403323,0.007298309266524244,-2.13874235273864,0.88055175,5893,25147,100000,1507.4
36,-1377.23985338484,0.00736181330392377,-2.21142582520687,0.8771365,5748,25866,100000,1550.2
37,-1407.4234649472996,0.007389333848911451,-2.16180118587282,0.87372125,5724,26585,100000,1590.8
38,-1439.7871891788382,0.007501997472939988,-2.2212464281456135,0.870306,5883,27304,100000,1631.7
39,-1383.3875885492102,0.00732474834556749,-2.2756458105758117,0.8668955,5829,28022,100000,1674.1
40,-1404.653807351293,0.0071357271820686715,-2.2575035067454055,0.8634850000000001,5883,28740,100000,1717.2,-1315.9655606379397,62.10073067054445,0.409619715531648,7.501552924349111,0.27740671483486706
41,-1362.670516460919,0.007439486897278147,-2.2814703888877776,0.86006975,5611,29459,100000,1792.1
42,-1460.2452407592834,0.007452393524386466,-2.177598867751142,0.856664,5776,30176,100000,1833.0
43,-1286.190565357447,0.007446113109747095,-2.3962323057414943,0.85324875,5442,30895,100000,1873.3
44,-1503.1228724211041,0.007566422737542629,-2.212062463144254,0.8498335,5938,31614,100000,1916.4
45,-1406.0143280647246,0.007660065049438143,-2.3264431462157518,0.84641825,5760,32333,100000,1958.0
46,-1382.5418857045631,0.007454081484116774,-2.294353802303593,0.8430030000000001,5801,33052,100000,2001.1
47,-1327.30738140163,0.007597621313859705,-2.353813220503363,0.83958775,5524,33771,100000,2042.4
48,-1460.0961772544285,0.007712589361407402,-2.3047491596608563,0.8361725,5942,34490,100000,2085.6
49,-1365.7752011412217,0.007655441761909072,-2.39708178731918,0.8327715,5741,35206,100000,2127.0
50,-1419.5122238747076,0.007471389630375008,-2.3867678664837495,0.82935625,5917,35925,100000,2171.3,-1362.3150466139268,55.90935974523026,0.41029200772114827,7.501314951654597,0.2955436037848873
51,-1403.3175646098512,0.007312930002145569,-2.4160323696819384,0.825941,5970,36644,100000,2252.4
52,-1354.7853717936994,0.007242459130001812,-2.3774028887619845,0.8225305,5624,37362,100000,2292.9
53,-1431.6890694411572,0.007161890151824893,-2.432770294288587,0.8191152500000001,6039,38081,100000,2338.4
54,-1341.6297558255415,0.007143894086018842,-2.3432538685104407,0.8157,5615,38800,100000,2379.3
55,-1360.905357419423,0.007220807239286234,-2.508249670667976,0.8122895,5836,39518,100000,2422.0
56,-1347.5789731349844,0.007114257517817408,-2.351304518327286,0.80887425,5559,40237,100000,2464.6
57,-1315.1898328032587,0.007001902962134491,-2.418773348577171,0.80546375,5527,40955,100000,2506.5
58,-1275.8770977164977,0.007098656918103621,-2.469075170511937,0.8020484999999999,5308,41674,100000,2548.5
59,-1402.2546457941912,0.0072425961438288815,-2.4737215233931376,0.79863325,5904,42393,100000,2596.0
60,-1336.9880680553808,0.007080272307977375,-2.477532435222047,0.795218,5662,43112,100000,2641.3,-1303.75468790416,73.93570194598293,0.41167945289859836,7.572024482607857,0.27965535342694803
61,-1445.1219397000032,0.007136410800740123,-2.42532969704251,0.79180275,5854,43831,100000,2721.9
62,-1439.5546583050848,0.0074377740371802704,-2.3432577446790286,0.788397,5974,44548,100000,2773.0
63,-1382.944647821417,0.007542253013511832,-2.4123420818173926,0.78498175,5803,45267,100000,2822.0
64,-1428.385277640645,0.0071548541665309275,-2.4324014878239932,0.7815665,5811,45986,100000,2872.2
65,-1397.0299338172476,0.007342002585025848,-2.3253917284329453,0.7781560000000001,5705,46704,100000,2920.3
66,-1350.738691672193,0.007347638927383628,-2.4782920234498724,0.7747455000000001,5650,47422,100000,2967.9
67,-1384.0491985646274,0.00719255778396831,-2.4380477632955495,0.77133975,5732,48139,100000,3012.6
68,-1404.8949143356585,0.0074429798245599175,-2.4776023835062135,0.76792925,5791,48857,100000,3056.8
69,-1399.8523096432914,0.0074356525644735634,-2.485734157536799,0.764514,5713,49576,100000,3102.0
70,-1385.274035769406,0.007292618587319915,-2.558221365924905,0.76110825,5921,50293,100000,3145.6,-1317.2857748861263,39.284765412259304,0.4060652984652884,7.407504041508386,0.276105118239358
71,-1501.0698097037457,0.007330114987272045,-2.4207896010912697,0.757693,6058,51012,100000,3226.1
72,-1292.9071001497423,0.007553410269405063,-2.5820174805813183,0.7542825,5475,51730,100000,3268.7
73,-1427.0508901869516,0.007675559549238592,-2.53304872496191,0.75086725,5951,52449,100000,3314.1
74,-1414.162107070204,0.007231991818368702,-2.654347076053564,0.74747575,6203,53163,100000,3364.4
75,-1346.1975737415737,0.007590552737051613,-2.535313822370429,0.74406525,5581,53881,100000,3408.0
76,-1370.1436673714034,0.007979493470758216,-2.5789148487773175,0.74065475,5733,54599,100000,3452.7
77,-1397.2606729374995,0.008030090314857245,-2.4234986281347073,0.7372395,5726,55318,100000,3496.0
78,-1444.6994884938222,0.007894224646634068,-2.4602089784809507,0.7338290000000001,5995,56036,100000,3543.3
79,-1511.2692415998436,0.008371749207408893,-2.343316497992139,0.7304137500000001,6039,56755,100000,3591.1
80,-1331.5901350120128,0.008472494051311527,-2.603434834578698,0.7269985,5669,57474,100000,3635.3,-1281.170642407732,15.217665113381582,0.4150068030176405,7.424498360478675,0.2777899692845107
81,-1432.9339449142024,0.008514918374252339,-2.4185013005053513,0.7235975,5819,58190,100000,3713.0
