episode,ep_reward,avg_loss,avg_v_now,n_decisions,n_transitions,n_updates,wall_time_s,train_CR,train_WT,train_DU,val_reward_mean,val_reward_std,val_CR,val_WT,val_DU
0,-2433.6901515865648,0.053478133122392024,-0.16844907096000827,8672,8672,271,16.34034299850464,0.5779044516829533,5.492128670451032,0.434061725613877,-2403.5394846149406,74.04697848673683,0.6027658691421096,5.445261945416306,0.4239415381090447
1,-2285.2136585828193,0.05013039147969322,-0.15621003147600643,8652,8652,271,15.747478008270264,0.6263492942153335,5.315088428632312,0.422879404993802,,,,,
2,-2202.1068684640195,0.046169653980541625,-0.15769638860278415,8166,8166,256,17.565742015838623,0.5921613178074411,5.338896566066724,0.4142377537005951,,,,,
3,-2333.7193523511555,0.056507063312631736,-0.16639453420390643,8461,8461,265,15.753006935119629,0.5882999176050535,5.404240713386782,0.43542956772680813,,,,,
4,-2287.7802848160627,0.04852318810472793,-0.15796648035697475,8570,8570,268,15.464221000671387,0.6090580716865797,5.428282260745908,0.40605173255246463,,,,,
5,-2416.5005686531385,0.04731420109776186,-0.41940708534582877,8922,8922,279,15.557780027389526,0.631697687535251,5.4326723204462475,0.42506203838303747,,,,,
6,-2296.218698228106,0.05046569666679281,-0.4246003097382902,8550,8550,268,16.40993309020996,0.5985302123026673,5.330150025579076,0.42258234211064677,,,,,
7,-2541.499210205088,0.042789825444805044,-0.43901982617693897,9328,9328,292,18.021626949310303,0.6316657504123144,5.398227213444691,0.43709523459872235,,,,,
8,-2278.035112622068,0.05035520637548476,-0.43080650822323924,8455,8455,265,15.122883081436157,0.6017279821627648,5.352286083456125,0.41574281042319866,,,,,
9,-2265.613005365698,0.051856165190542494,-0.4262052114113425,8414,8414,263,14.834032773971558,0.6240130683365097,5.312755115041591,0.43766744061439544,-2389.672580985481,31.97778988387191,0.6175772670799275,5.448797930616889,0.4237469755495612
10,-2456.2358389724104,0.0525132307020778,-0.6551358306889726,8796,8796,275,15.687932014465332,0.5963153616905987,5.53706778160355,0.45537666467899024,,,,,
11,-2261.447738678,0.04811545731082781,-0.6535755630423937,8548,8548,268,14.83882999420166,0.6152556580050293,5.421787931637568,0.4142516811917614,,,,,
12,-2449.2101471316455,0.055595190765765995,-0.6687894363753034,8706,8706,273,15.495101928710938,0.5663927908825868,5.672382975889782,0.4351523533479483,,,,,
13,-2488.9464747493503,0.04689184699468968,-0.6583169441773785,9097,9097,285,16.461080074310303,0.6173960913845307,5.485122239207896,0.4263058344245599,,,,,
14,-2325.3171263463346,0.04573668626321973,-0.6637603063581456,8704,8704,272,16.302339792251587,0.6095132743362832,5.454148074118035,0.4234890314878376,,,,,
15,-2382.30292815122,0.0492006364944206,-0.8116200602256646,8850,8850,277,16.06964921951294,0.6268820147823706,5.1705840572887585,0.43590045302112135,,,,,
16,-2350.7044943255387,0.05380799479009408,-0.8323020920220722,8476,8476,265,14.783874034881592,0.5925116151954086,5.5337354839610535,0.4448036812583648,,,,,
17,-2264.142252507489,0.04449621440412906,-0.833924141117873,8320,8320,260,14.273970127105713,0.5986898319567074,5.442133594218512,0.4167704005879089,,,,,
18,-2348.8648984689894,0.04800962003404802,-0.8262232828041854,8480,8480,265,14.831608057022095,0.5851670741646292,5.531641128618009,0.4349586739396504,,,,,
19,-2293.1535357238513,0.043523383969884546,-0.8309326352735769,8707,8707,273,14.976407051086426,0.6289905090595341,5.325184499858973,0.40511634195069923,-2397.401448770718,95.6433801790424,0.6009643895671738,5.47267176052839,0.4253232647768469
20,-2375.1691432451785,0.05333044928802031,-0.955215446974464,8522,8522,267,15.075039148330688,0.5805131004366813,5.537696738432339,0.4277698185291309,,,,,
