method,seed,CR
Greedy,10000,0.6230235783633842
Greedy,10001,0.5919246298788694
Greedy,10002,0.5933793103448276
Greedy,10003,0.5846494873926296
Greedy,10004,0.6073825503355704
Greedy,10005,0.6234534696073157
Greedy,10006,0.6184860120680198
Greedy,10007,0.6141380273819502
Greedy,10008,0.6035230352303523
Greedy,10009,0.6394094264622374
DQN_v5_ep150,10000,0.6204620462046204
DQN_v5_ep150,10001,0.6353575482406356
DQN_v5_ep150,10002,0.5757093609122249
DQN_v5_ep150,10003,0.6207568169170841
DQN_v5_ep150,10004,0.6308223116733755
DQN_v5_ep150,10005,0.642816742081448
DQN_v5_ep150,10006,0.5900435255712732
DQN_v5_ep150,10007,0.5876039710222699
DQN_v5_ep150,10008,0.6219344171948195
DQN_v5_ep150,10009,0.6023407729994557
V_net_ep109,10000,0.6288184438040346
V_net_ep109,10001,0.6332322953981813
V_net_ep109,10002,0.6066795473364615
V_net_ep109,10003,0.630755864465682
V_net_ep109,10004,0.6180715935334873
V_net_ep109,10005,0.6597510373443983
V_net_ep109,10006,0.6215915414579856
V_net_ep109,10007,0.5975642760487144
V_net_ep109,10008,0.6233873181443865
V_net_ep109,10009,0.6387220098306936
