method,seed,CR
Greedy,10000,0.6230235783633842
Greedy,10001,0.5919246298788694
Greedy,10002,0.5933793103448276
Greedy,10003,0.5846494873926296
Greedy,10004,0.6073825503355704
Greedy,10005,0.6234534696073157
Greedy,10006,0.6184860120680198
Greedy,10007,0.6141380273819502
Greedy,10008,0.6035230352303523
Greedy,10009,0.6394094264622374
DQN_CRbest_ep300,10000,0.6523013778950454
DQN_CRbest_ep300,10001,0.588363240891789
DQN_CRbest_ep300,10002,0.5923097900190891
DQN_CRbest_ep300,10003,0.6275395033860045
DQN_CRbest_ep300,10004,0.623948401570387
DQN_CRbest_ep300,10005,0.6336549375709422
DQN_CRbest_ep300,10006,0.6283090221501891
DQN_CRbest_ep300,10007,0.6443404504241006
DQN_CRbest_ep300,10008,0.6364906398435317
DQN_CRbest_ep300,10009,0.6227511763077774
V_net_ep109,10000,0.6288184438040346
V_net_ep109,10001,0.6332322953981813
V_net_ep109,10002,0.6066795473364615
V_net_ep109,10003,0.630755864465682
V_net_ep109,10004,0.6180715935334873
V_net_ep109,10005,0.6597510373443983
V_net_ep109,10006,0.6215915414579856
V_net_ep109,10007,0.5975642760487144
V_net_ep109,10008,0.6233873181443865
V_net_ep109,10009,0.6387220098306936
